txn_id,customer_id,matter_id,matter_type,txn_date,txn_type,amount_aud,description,unrelated_third_party,counterparty_country
TXN-101670,CUST-10279,MTR-10279-9,Residential Conveyancing,2025-10-29,Withdrawal,155531.85,Trust disbursement - settlement,False,New Zealand
TXN-101934,CUST-10328,MTR-10328-9,Commercial Conveyancing,2025-10-29,Withdrawal,335623.93,Trust disbursement - settlement,False,Cambodia
TXN-101743,CUST-10292,MTR-10292-4,Company Formation,2025-10-30,Withdrawal,1454.14,Trust disbursement - settlement,False,Germany
TXN-102039,CUST-10343,MTR-10343-6,Nominee Shareholder Arrangement,2025-10-31,Deposit,5704.63,Trust receipt - client funds,False,New Zealand
TXN-100109,CUST-10019,MTR-10019-3,Nominee Shareholder Arrangement,2025-10-31,Withdrawal,2993.62,Trust disbursement - settlement,False,United States
TXN-101587,CUST-10267,MTR-10267-7,Company Formation,2025-10-31,Deposit,6729.96,Trust receipt - client funds,False,Germany
TXN-102143,CUST-10361,MTR-10361-4,Estate Administration,2025-11-01,Deposit,62434.42,Trust receipt - client funds,False,Australia
TXN-100528,CUST-10086,MTR-10086-7,Company Formation,2025-11-02,Deposit,2700.47,Trust receipt - client funds,False,Singapore
TXN-100393,CUST-10063,MTR-10063-7,Nominee Director Arrangement,2025-11-02,Withdrawal,7181.48,Trust disbursement - settlement,False,United States
TXN-101031,CUST-10167,MTR-10167-4,Company Formation,2025-11-02,Deposit,5920.4,Trust receipt - client funds,False,Panama
TXN-102347,CUST-10395,MTR-10395-2,Nominee Shareholder Arrangement,2025-11-02,Withdrawal,864.67,Trust disbursement - settlement,False,United Kingdom
TXN-100110,CUST-10019,MTR-10019-3,Nominee Shareholder Arrangement,2025-11-02,Deposit,817.02,Trust receipt - client funds,False,United States
TXN-101553,CUST-10260,MTR-10260-9,Estate Administration,2025-11-02,Deposit,25511.44,Trust receipt - client funds,False,United Arab Emirates
TXN-100999,CUST-10162,MTR-10162-2,Estate Administration,2025-11-03,Deposit,430916.49,Trust receipt - client funds,False,Singapore
TXN-101293,CUST-10214,MTR-10214-9,Commercial Conveyancing,2025-11-03,Deposit,96196.53,Trust receipt - international wire,False,Democratic Republic of Congo
TXN-101077,CUST-10174,MTR-10174-4,Nominee Shareholder Arrangement,2025-11-03,Withdrawal,2041.53,Trust disbursement - settlement,False,United Arab Emirates
TXN-102232,CUST-10375,MTR-10375-8,Residential Conveyancing,2025-11-03,Withdrawal,32318.36,Trust disbursement - settlement,False,United States
TXN-101687,CUST-10282,MTR-10282-4,Trust Establishment,2025-11-03,Deposit,15921.02,Trust receipt - client funds,False,Japan
TXN-100065,CUST-10010,MTR-10010-9,Nominee Shareholder Arrangement,2025-11-04,Deposit,1984.8,Trust receipt - client funds,False,Singapore
TXN-102373,CUST-10401,MTR-10401-2,Commercial Conveyancing,2025-11-04,Deposit,2825656.59,Trust receipt - client funds,False,Cyprus
TXN-101903,CUST-10320,MTR-10320-5,Residential Conveyancing,2025-11-04,Deposit,42607.6,Trust receipt - client funds,False,Singapore
TXN-102029,CUST-10341,MTR-10341-3,Debt Financing Transaction,2025-11-04,Deposit,584491.5,Trust receipt - client funds,False,Australia
TXN-102472,CUST-10417,MTR-10417-4,Company Formation,2025-11-05,Deposit,602.78,Trust receipt - client funds,False,Cyprus
TXN-100844,CUST-10139,MTR-10139-2,Nominee Director Arrangement,2025-11-05,Deposit,3119.28,Trust receipt - client funds,False,United Kingdom
TXN-100908,CUST-10148,MTR-10148-4,Debt Financing Transaction,2025-11-05,Deposit,337028.06,Trust receipt - client funds,False,United Kingdom
TXN-101425,CUST-10234,MTR-10234-3,Commercial Conveyancing,2025-11-05,Withdrawal,729113.86,Trust disbursement - settlement,False,Singapore
TXN-102275,CUST-10384,MTR-10384-1,Nominee Shareholder Arrangement,2025-11-06,Withdrawal,1142.27,Trust disbursement - settlement,False,Canada
TXN-101253,CUST-10207,MTR-10207-7,Commercial Conveyancing,2025-11-07,Deposit,2796878.32,Trust receipt - client funds,False,Germany
TXN-100630,CUST-10104,MTR-10104-8,Business Sale & Purchase,2025-11-07,Withdrawal,140547.65,Trust disbursement - settlement,False,Australia
TXN-100611,CUST-10101,MTR-10101-9,Commercial Conveyancing,2025-11-07,Withdrawal,859290.61,Trust disbursement - settlement,False,United Kingdom
TXN-101469,CUST-10243,MTR-10243-7,Business Sale & Purchase,2025-11-07,Deposit,195746.67,Trust receipt - client funds,False,Australia
TXN-102430,CUST-10412,MTR-10412-5,Estate Administration,2025-11-08,Deposit,155052.21,Trust receipt - client funds,False,United Kingdom
TXN-101642,CUST-10275,MTR-10275-9,Estate Administration,2025-11-08,Withdrawal,165581.04,Trust disbursement - settlement,False,United Kingdom
TXN-100933,CUST-10152,MTR-10152-4,Estate Administration,2025-11-08,Withdrawal,18029.12,Trust disbursement - settlement,False,New Zealand
TXN-101236,CUST-10204,MTR-10204-2,Estate Administration,2025-11-08,Deposit,151873.23,Trust receipt - client funds,False,Cambodia
TXN-100572,CUST-10092,MTR-10092-3,Commercial Conveyancing,2025-11-09,Deposit,394199.69,Trust receipt - client funds,False,Germany
TXN-101392,CUST-10228,MTR-10228-6,Commercial Conveyancing,2025-11-09,Deposit,1530183.65,Trust receipt - client funds,False,Germany
TXN-100227,CUST-10036,MTR-10036-8,Trust Establishment,2025-11-09,Deposit,5370.19,Trust receipt - client funds,False,Singapore
TXN-102191,CUST-10367,MTR-10367-5,Debt Financing Transaction,2025-11-10,Deposit,1968776.12,Trust receipt - client funds,False,Canada
TXN-102227,CUST-10374,MTR-10374-4,Commercial Conveyancing,2025-11-10,Withdrawal,239852.13,Trust disbursement - settlement,False,Germany
TXN-100698,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-10,Deposit,9763.85,Trust receipt - client funds,False,Iran
TXN-100316,CUST-10051,MTR-10051-1,Nominee Director Arrangement,2025-11-10,Withdrawal,4817.51,Trust disbursement - settlement,False,Panama
TXN-102150,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-11-10,Withdrawal,89709.22,Trust disbursement - settlement,False,United Kingdom
TXN-102470,CUST-10417,MTR-10417-4,Company Formation,2025-11-11,Deposit,1982.25,Trust receipt - client funds,False,Cyprus
TXN-100545,CUST-10088,MTR-10088-3,Nominee Director Arrangement,2025-11-11,Deposit,5022.96,Trust receipt - client funds,False,Cambodia
TXN-102157,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-11-11,Deposit,542998.75,Trust receipt - client funds,False,United Kingdom
TXN-101171,CUST-10191,MTR-10191-9,Debt Financing Transaction,2025-11-12,Deposit,1524370.43,Trust receipt - client funds,False,United States
TXN-101581,CUST-10265,MTR-10265-4,Residential Conveyancing,2025-11-12,Deposit,389438.98,Trust receipt - client funds,False,Singapore
TXN-101162,CUST-10190,MTR-10190-8,Trust Establishment,2025-11-12,Deposit,24361.64,Trust receipt - client funds,False,Singapore
TXN-100809,CUST-10134,MTR-10134-5,Nominee Shareholder Arrangement,2025-11-13,Withdrawal,1386.11,Trust disbursement - settlement,False,Canada
TXN-101850,CUST-10310,MTR-10310-5,Estate Administration,2025-11-13,Withdrawal,16174.84,Trust disbursement - settlement,False,Japan
TXN-100699,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-13,Deposit,8457.49,Trust receipt - client funds,False,Iran
TXN-101869,CUST-10314,MTR-10314-9,Residential Conveyancing,2025-11-13,Deposit,227113.17,Trust receipt - client funds,False,New Zealand
TXN-100713,CUST-10117,MTR-10117-9,Company Formation,2025-11-13,Withdrawal,2610.13,Trust disbursement - settlement,False,Singapore
TXN-100059,CUST-10009,MTR-10009-8,Nominee Shareholder Arrangement,2025-11-13,Deposit,2060.49,Trust receipt - client funds,False,Canada
TXN-101394,CUST-10228,MTR-10228-6,Commercial Conveyancing,2025-11-13,Deposit,345456.03,Trust receipt - client funds,False,Germany
TXN-101978,CUST-10334,MTR-10334-2,Company Formation,2025-11-13,Deposit,4688.85,Trust receipt - client funds,False,Germany
TXN-101622,CUST-10272,MTR-10272-5,Residential Conveyancing,2025-11-14,Deposit,383162.26,Trust receipt - client funds,False,Germany
TXN-100494,CUST-10082,MTR-10082-7,Estate Administration,2025-11-14,Withdrawal,8874.0,Trust disbursement - settlement,False,Singapore
TXN-101807,CUST-10303,MTR-10303-4,Estate Administration,2025-11-15,Deposit,223199.83,Trust receipt - client funds,False,United States
TXN-100915,CUST-10150,MTR-10150-6,Residential Conveyancing,2025-11-15,Withdrawal,160932.42,Trust disbursement - settlement,False,Japan
TXN-100789,CUST-10130,MTR-10130-6,Debt Financing Transaction,2025-11-15,Withdrawal,193991.28,Trust disbursement - settlement,False,United Kingdom
TXN-101203,CUST-10197,MTR-10197-2,Nominee Shareholder Arrangement,2025-11-15,Deposit,3318.36,Trust receipt - client funds,False,Germany
TXN-100530,CUST-10086,MTR-10086-7,Company Formation,2025-11-15,Deposit,1057.32,Trust receipt - client funds,False,Singapore
TXN-102199,CUST-10369,MTR-10369-2,Company Formation,2025-11-15,Deposit,5867.44,Trust receipt - client funds,False,Vanuatu
TXN-101437,CUST-10237,MTR-10237-6,Business Sale & Purchase,2025-11-15,Deposit,157964.74,Trust receipt - client funds,False,Canada
TXN-100700,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-16,Deposit,9101.14,Trust receipt - client funds,False,Iran
TXN-100991,CUST-10162,MTR-10162-2,Estate Administration,2025-11-16,Withdrawal,5338.31,Trust disbursement - settlement,False,Singapore
TXN-101335,CUST-10220,MTR-10220-9,Nominee Director Arrangement,2025-11-16,Withdrawal,5939.05,Trust disbursement - settlement,False,United Kingdom
TXN-101976,CUST-10334,MTR-10334-2,Company Formation,2025-11-17,Deposit,2794.42,Trust receipt - client funds,False,Germany
TXN-102044,CUST-10345,MTR-10345-5,Company Formation,2025-11-17,Deposit,760.46,Trust receipt - client funds,False,United Kingdom
TXN-102349,CUST-10396,MTR-10396-7,Nominee Director Arrangement,2025-11-17,Deposit,2350.04,Trust receipt - client funds,False,United Kingdom
TXN-102258,CUST-10380,MTR-10380-7,Company Formation,2025-11-18,Deposit,10229.85,Trust receipt - client funds,False,Canada
TXN-101420,CUST-10233,MTR-10233-4,Commercial Conveyancing,2025-11-18,Withdrawal,475278.93,Trust disbursement - settlement,False,Canada
TXN-100702,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-18,Deposit,8687.67,Trust receipt - client funds,False,Iran
TXN-101189,CUST-10194,MTR-10194-5,Debt Financing Transaction,2025-11-18,Withdrawal,75300.11,Trust disbursement - settlement,False,United States
TXN-100258,CUST-10041,MTR-10041-4,Nominee Shareholder Arrangement,2025-11-18,Deposit,2791.88,Trust receipt - client funds,False,United States
TXN-100143,CUST-10024,MTR-10024-9,Commercial Conveyancing,2025-11-18,Deposit,87842.24,Trust receipt - client funds,False,Australia
TXN-101269,CUST-10210,MTR-10210-2,Residential Conveyancing,2025-11-19,Withdrawal,105885.62,Trust disbursement - settlement,False,United States
TXN-100701,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-19,Deposit,8746.61,Trust receipt - client funds,False,Iran
TXN-102444,CUST-10413,MTR-10413-2,Commercial Conveyancing,2025-11-19,Withdrawal,97854.09,Trust disbursement - settlement,False,Australia
TXN-102467,CUST-10417,MTR-10417-4,Company Formation,2025-11-19,Deposit,3592.93,Trust receipt - client funds,False,Cyprus
TXN-102077,CUST-10351,MTR-10351-3,Estate Administration,2025-11-20,Deposit,31665.22,Trust receipt - client funds,False,Japan
TXN-101580,CUST-10265,MTR-10265-4,Residential Conveyancing,2025-11-21,Withdrawal,307540.85,Trust disbursement - settlement,False,Singapore
TXN-100204,CUST-10032,MTR-10032-3,Company Formation,2025-11-21,Deposit,8183.84,Trust receipt - client funds,False,Australia
TXN-101424,CUST-10234,MTR-10234-3,Commercial Conveyancing,2025-11-21,Withdrawal,112353.56,Trust disbursement - settlement,False,Singapore
TXN-100529,CUST-10086,MTR-10086-7,Company Formation,2025-11-22,Deposit,658.7,Trust receipt - client funds,False,Singapore
TXN-102127,CUST-10359,MTR-10359-7,Trust Establishment,2025-11-22,Deposit,16863.65,Trust receipt - international wire,False,Democratic Republic of Congo
TXN-102293,CUST-10388,MTR-10388-2,Trust Establishment,2025-11-23,Withdrawal,18703.88,Trust disbursement - settlement,False,United States
TXN-101123,CUST-10184,MTR-10184-9,Trust Establishment,2025-11-23,Deposit,6453.12,Trust receipt - client funds,False,Australia
TXN-100673,CUST-10111,MTR-10111-8,Nominee Director Arrangement,2025-11-23,Withdrawal,3227.48,Trust disbursement - settlement,False,Japan
TXN-101122,CUST-10184,MTR-10184-9,Trust Establishment,2025-11-24,Withdrawal,1106.92,Trust disbursement - settlement,False,Australia
TXN-101702,CUST-10286,MTR-10286-8,Commercial Conveyancing,2025-11-24,Deposit,1768102.03,Trust receipt - client funds,False,Canada
TXN-100534,CUST-10087,MTR-10087-9,Trust Establishment,2025-11-24,Withdrawal,25563.36,Trust disbursement - settlement,False,Germany
TXN-101828,CUST-10305,MTR-10305-3,Company Formation,2025-11-25,Withdrawal,1421.56,Trust disbursement - settlement,False,United Kingdom
TXN-100450,CUST-10075,MTR-10075-6,Estate Administration,2025-11-25,Deposit,17877.18,Trust receipt - client funds,False,United States
TXN-100703,CUST-10114,MTR-10114-1,Debt Financing Transaction,2025-11-25,Deposit,9799.85,Trust receipt - client funds,False,Iran
TXN-100155,CUST-10025,MTR-10025-5,Business Sale & Purchase,2025-11-25,Deposit,30181.42,Trust receipt - client funds,False,United States
TXN-100390,CUST-10062,MTR-10062-9,Company Formation,2025-11-26,Deposit,11228.15,Trust receipt - client funds,False,Canada
TXN-101370,CUST-10225,MTR-10225-3,Company Formation,2025-11-26,Deposit,1370.96,Trust receipt - client funds,False,United Kingdom
TXN-102228,CUST-10374,MTR-10374-4,Commercial Conveyancing,2025-11-26,Deposit,240220.42,Trust receipt - client funds,False,Germany
TXN-101899,CUST-10319,MTR-10319-6,Business Sale & Purchase,2025-11-26,Withdrawal,809811.98,Trust disbursement - settlement,False,United States
TXN-100524,CUST-10086,MTR-10086-7,Company Formation,2025-11-26,Withdrawal,2005.88,Trust disbursement - settlement,False,Singapore
TXN-101255,CUST-10207,MTR-10207-7,Commercial Conveyancing,2025-11-28,Deposit,973987.42,Trust receipt - client funds,False,Germany
TXN-102423,CUST-10410,MTR-10410-1,Residential Conveyancing,2025-11-28,Deposit,18992.72,Trust receipt - client funds,False,Canada
TXN-100312,CUST-10050,MTR-10050-1,Commercial Conveyancing,2025-11-28,Deposit,151650.86,Trust receipt - client funds,False,Panama
TXN-101357,CUST-10223,MTR-10223-5,Nominee Director Arrangement,2025-11-28,Deposit,3143.1,Trust receipt - client funds,False,Japan
TXN-100748,CUST-10123,MTR-10123-5,Nominee Director Arrangement,2025-11-29,Deposit,5966.0,Trust receipt - client funds,False,Panama
TXN-102138,CUST-10360,MTR-10360-5,Commercial Conveyancing,2025-11-29,Deposit,2289640.78,Trust receipt - client funds,False,Canada
TXN-101695,CUST-10284,MTR-10284-4,Company Formation,2025-11-29,Withdrawal,14977.45,Trust disbursement - settlement,False,Germany
TXN-101504,CUST-10250,MTR-10250-4,Estate Administration,2025-11-30,Deposit,730671.54,Trust receipt - client funds,False,New Zealand
TXN-101664,CUST-10278,MTR-10278-8,Commercial Conveyancing,2025-11-30,Withdrawal,268496.8,Trust disbursement - settlement,False,Singapore
TXN-101557,CUST-10260,MTR-10260-9,Estate Administration,2025-12-01,Deposit,557690.5,Trust receipt - client funds,False,United Arab Emirates
TXN-101334,CUST-10220,MTR-10220-9,Nominee Director Arrangement,2025-12-01,Withdrawal,6896.32,Trust disbursement - settlement,False,United Kingdom
TXN-100142,CUST-10023,MTR-10023-4,Commercial Conveyancing,2025-12-01,Withdrawal,840022.52,Trust disbursement - settlement,False,Canada
TXN-101356,CUST-10223,MTR-10223-5,Nominee Director Arrangement,2025-12-01,Withdrawal,931.21,Trust disbursement - settlement,False,Japan
TXN-102281,CUST-10386,MTR-10386-6,Debt Financing Transaction,2025-12-01,Withdrawal,1469740.31,Trust disbursement - settlement,False,United States
TXN-100922,CUST-10151,MTR-10151-3,Debt Financing Transaction,2025-12-02,Withdrawal,965723.36,Trust disbursement - settlement,False,Singapore
TXN-100622,CUST-10102,MTR-10102-1,Estate Administration,2025-12-02,Deposit,146430.53,Trust receipt - client funds,False,New Zealand
TXN-100246,CUST-10039,MTR-10039-3,Nominee Shareholder Arrangement,2025-12-02,Deposit,7993.74,Trust receipt - client funds,False,New Zealand
TXN-102367,CUST-10399,MTR-10399-3,Estate Administration,2025-12-03,Withdrawal,6321.19,Trust disbursement - settlement,False,Singapore
TXN-101693,CUST-10284,MTR-10284-4,Company Formation,2025-12-03,Withdrawal,2158.29,Trust disbursement - settlement,False,Germany
TXN-102277,CUST-10384,MTR-10384-1,Nominee Shareholder Arrangement,2025-12-03,Deposit,6247.61,Trust receipt - client funds,False,Canada
TXN-101786,CUST-10299,MTR-10299-2,Trust Establishment,2025-12-04,Deposit,35961.85,Trust receipt - client funds,False,Japan
TXN-100794,CUST-10130,MTR-10130-6,Debt Financing Transaction,2025-12-04,Deposit,379620.18,Trust receipt - client funds,False,United Kingdom
TXN-102245,CUST-10377,MTR-10377-1,Nominee Director Arrangement,2025-12-06,Deposit,1182.0,Trust receipt - client funds,False,Germany
TXN-101530,CUST-10254,MTR-10254-9,Nominee Director Arrangement,2025-12-06,Withdrawal,1471.84,Trust disbursement - settlement,False,Australia
TXN-101848,CUST-10310,MTR-10310-5,Estate Administration,2025-12-06,Withdrawal,328040.6,Trust disbursement - settlement,False,Japan
TXN-100102,CUST-10018,MTR-10018-5,Nominee Director Arrangement,2025-12-07,Deposit,2417.03,Trust receipt - client funds,False,Japan
TXN-102172,CUST-10364,MTR-10364-1,Trust Establishment,2025-12-07,Deposit,1514.87,Trust receipt - client funds,False,Cambodia
TXN-100081,CUST-10014,MTR-10014-9,Company Formation,2025-12-08,Deposit,4487.13,Trust receipt - client funds,False,Canada
TXN-100614,CUST-10101,MTR-10101-9,Commercial Conveyancing,2025-12-08,Deposit,108110.06,Trust receipt - client funds,False,United Kingdom
TXN-102159,CUST-10363,MTR-10363-4,Company Formation,2025-12-08,Withdrawal,887.96,Trust disbursement - settlement,False,United Kingdom
TXN-102068,CUST-10350,MTR-10350-7,Residential Conveyancing,2025-12-09,Withdrawal,245178.64,Trust disbursement - settlement,False,United Kingdom
TXN-100503,CUST-10082,MTR-10082-7,Estate Administration,2025-12-09,Deposit,36790.13,Trust receipt - client funds,False,Singapore
TXN-101971,CUST-10333,MTR-10333-3,Nominee Shareholder Arrangement,2025-12-09,Deposit,3254.99,Trust receipt - client funds,False,Cambodia
TXN-102072,CUST-10350,MTR-10350-7,Residential Conveyancing,2025-12-09,Withdrawal,76247.49,Trust disbursement - settlement,False,United Kingdom
TXN-100709,CUST-10116,MTR-10116-9,Trust Establishment,2025-12-10,Withdrawal,10896.66,Trust disbursement - settlement,False,Australia
TXN-101822,CUST-10305,MTR-10305-3,Company Formation,2025-12-10,Deposit,5191.55,Trust receipt - client funds,False,United Kingdom
TXN-100784,CUST-10128,MTR-10128-8,Trust Establishment,2025-12-10,Deposit,3076.91,Trust receipt - client funds,False,Australia
TXN-102026,CUST-10341,MTR-10341-3,Debt Financing Transaction,2025-12-11,Withdrawal,836470.9,Trust disbursement - settlement,False,Australia
TXN-102231,CUST-10375,MTR-10375-8,Residential Conveyancing,2025-12-11,Withdrawal,589683.76,Trust disbursement - settlement,False,United States
TXN-101128,CUST-10184,MTR-10184-9,Trust Establishment,2025-12-11,Withdrawal,4183.87,Trust disbursement - settlement,False,Australia
TXN-101738,CUST-10292,MTR-10292-4,Company Formation,2025-12-12,Deposit,2024.69,Trust receipt - client funds,False,Germany
TXN-102262,CUST-10381,MTR-10381-3,Debt Financing Transaction,2025-12-12,Deposit,451383.88,Trust receipt - client funds,False,United States
TXN-100814,CUST-10134,MTR-10134-5,Nominee Shareholder Arrangement,2025-12-12,Withdrawal,515.53,Trust disbursement - settlement,False,Canada
TXN-100793,CUST-10130,MTR-10130-6,Debt Financing Transaction,2025-12-13,Deposit,1745573.71,Trust receipt - client funds,False,United Kingdom
TXN-100951,CUST-10155,MTR-10155-1,Nominee Shareholder Arrangement,2025-12-13,Withdrawal,760.48,Trust disbursement - settlement,False,Singapore
TXN-102436,CUST-10413,MTR-10413-2,Commercial Conveyancing,2025-12-13,Withdrawal,470951.13,Trust disbursement - settlement,False,Australia
TXN-102114,CUST-10356,MTR-10356-4,Trust Establishment,2025-12-14,Withdrawal,10973.47,Trust disbursement - settlement,False,United Kingdom
TXN-102096,CUST-10353,MTR-10353-4,Residential Conveyancing,2025-12-14,Withdrawal,16522.54,Trust disbursement - settlement,False,Germany
TXN-101777,CUST-10298,MTR-10298-7,Nominee Shareholder Arrangement,2025-12-14,Withdrawal,5146.65,Trust disbursement - settlement,False,Germany
TXN-102234,CUST-10375,MTR-10375-8,Residential Conveyancing,2025-12-14,Deposit,135209.63,Trust receipt - client funds,False,United States
TXN-101371,CUST-10226,MTR-10226-3,Trust Establishment,2025-12-14,Deposit,5491.58,Trust receipt - client funds,False,Panama
TXN-100442,CUST-10074,MTR-10074-3,Nominee Director Arrangement,2025-12-15,Withdrawal,6063.18,Trust disbursement - settlement,False,Germany
TXN-101804,CUST-10303,MTR-10303-4,Estate Administration,2025-12-15,Deposit,78919.22,Trust receipt - client funds,False,United States
TXN-100287,CUST-10045,MTR-10045-1,Residential Conveyancing,2025-12-15,Deposit,617564.49,Trust receipt - client funds,False,Australia
TXN-100848,CUST-10139,MTR-10139-2,Nominee Director Arrangement,2025-12-16,Withdrawal,627.93,Trust disbursement - settlement,False,United Kingdom
TXN-100003,CUST-10000,MTR-10000-9,Company Formation,2025-12-16,Withdrawal,5557.49,Trust disbursement - settlement,False,Canada
TXN-100226,CUST-10036,MTR-10036-8,Trust Establishment,2025-12-16,Withdrawal,26684.31,Trust disbursement - settlement,False,Singapore
TXN-102464,CUST-10416,MTR-10416-2,Commercial Conveyancing,2025-12-16,Withdrawal,576847.69,Trust disbursement - settlement,False,Germany
TXN-101940,CUST-10329,MTR-10329-2,Residential Conveyancing,2025-12-18,Withdrawal,53556.14,Trust disbursement - settlement,False,Germany
TXN-101953,CUST-10330,MTR-10330-9,Trust Establishment,2025-12-18,Withdrawal,22997.78,Trust disbursement - settlement,False,Singapore
TXN-101125,CUST-10184,MTR-10184-9,Trust Establishment,2025-12-18,Deposit,4125.93,Trust receipt - client funds,False,Australia
TXN-102042,CUST-10344,MTR-10344-7,Business Sale & Purchase,2025-12-19,Deposit,351451.17,Trust receipt - client funds,False,Panama
TXN-101471,CUST-10243,MTR-10243-7,Business Sale & Purchase,2025-12-19,Deposit,186716.41,Trust receipt - client funds,False,Australia
TXN-100434,CUST-10072,MTR-10072-5,Nominee Shareholder Arrangement,2025-12-19,Deposit,1022.11,Trust receipt - client funds,False,United Kingdom
TXN-102155,CUST-10362,MTR-10362-7,Business Sale & Purchase,2025-12-19,Withdrawal,96080.74,Trust disbursement - settlement,False,United Kingdom
TXN-101378,CUST-10226,MTR-10226-3,Trust Establishment,2025-12-19,Withdrawal,2054.88,Trust disbursement - settlement,False,Panama
TXN-102170,CUST-10364,MTR-10364-1,Trust Establishment,2025-12-19,Deposit,25624.69,Trust receipt - client funds,False,Cambodia
TXN-102256,CUST-10380,MTR-10380-7,Company Formation,2025-12-20,Withdrawal,12150.79,Trust disbursement - settlement,False,Canada
TXN-100821,CUST-10136,MTR-10136-3,Commercial Conveyancing,2025-12-20,Deposit,114874.64,Trust receipt - client funds,False,Singapore
TXN-100338,CUST-10054,MTR-10054-1,Business Sale & Purchase,2025-12-20,Withdrawal,648702.5,Trust disbursement - settlement,False,Singapore
TXN-102354,CUST-10397,MTR-10397-7,Debt Financing Transaction,2025-12-21,Deposit,1491845.05,Trust receipt - client funds,False,Canada
TXN-101139,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-12-21,Withdrawal,1156.15,Trust disbursement - settlement,False,United Kingdom
TXN-102478,CUST-10418,MTR-10418-9,Company Formation,2025-12-21,Deposit,1561.8,Trust receipt - client funds,False,Australia
TXN-100826,CUST-10136,MTR-10136-3,Commercial Conveyancing,2025-12-22,Deposit,463126.45,Trust receipt - client funds,False,Singapore
TXN-101960,CUST-10332,MTR-10332-6,Trust Establishment,2025-12-22,Deposit,12715.01,Trust receipt - client funds,False,Japan
TXN-101556,CUST-10260,MTR-10260-9,Estate Administration,2025-12-22,Deposit,45407.17,Trust receipt - client funds,False,United Arab Emirates
TXN-100218,CUST-10035,MTR-10035-5,Estate Administration,2025-12-22,Withdrawal,511376.26,Trust disbursement - settlement,False,Canada
TXN-102469,CUST-10417,MTR-10417-4,Company Formation,2025-12-22,Deposit,1291.51,Trust receipt - client funds,False,Cyprus
TXN-100067,CUST-10010,MTR-10010-9,Nominee Shareholder Arrangement,2025-12-22,Deposit,1101.42,Trust receipt - client funds,False,Singapore
TXN-101292,CUST-10213,MTR-10213-8,Business Sale & Purchase,2025-12-22,Withdrawal,147079.56,Trust disbursement - settlement,False,Democratic Republic of Congo
TXN-102385,CUST-10403,MTR-10403-6,Company Formation,2025-12-22,Deposit,1802.29,Trust receipt - client funds,False,Germany
TXN-100762,CUST-10126,MTR-10126-1,Residential Conveyancing,2025-12-22,Deposit,75200.88,Trust receipt - client funds,False,Cyprus
TXN-102000,CUST-10337,MTR-10337-4,Company Formation,2025-12-23,Deposit,12213.12,Trust receipt - client funds,False,United Kingdom
TXN-100928,CUST-10151,MTR-10151-3,Debt Financing Transaction,2025-12-23,Deposit,312126.44,Trust receipt - client funds,False,Singapore
TXN-100930,CUST-10152,MTR-10152-4,Estate Administration,2025-12-23,Withdrawal,6724.25,Trust disbursement - settlement,False,New Zealand
TXN-101559,CUST-10261,MTR-10261-7,Residential Conveyancing,2025-12-24,Deposit,373390.64,Trust receipt - client funds,False,New Zealand
TXN-101814,CUST-10304,MTR-10304-6,Trust Establishment,2025-12-24,Withdrawal,3319.0,Trust disbursement - settlement,False,Japan
TXN-100294,CUST-10047,MTR-10047-6,Residential Conveyancing,2025-12-25,Deposit,118366.68,Trust receipt - client funds,False,Panama
TXN-101059,CUST-10171,MTR-10171-6,Nominee Director Arrangement,2025-12-25,Withdrawal,1452.0,Trust disbursement - settlement,False,United States
TXN-102071,CUST-10350,MTR-10350-7,Residential Conveyancing,2025-12-25,Withdrawal,137387.27,Trust disbursement - settlement,False,United Kingdom
TXN-102146,CUST-10361,MTR-10361-4,Estate Administration,2025-12-26,Withdrawal,25927.58,Trust disbursement - settlement,False,Australia
TXN-101060,CUST-10171,MTR-10171-6,Nominee Director Arrangement,2025-12-26,Deposit,1932.77,Trust receipt - client funds,False,United States
TXN-102133,CUST-10359,MTR-10359-7,Trust Establishment,2025-12-26,Deposit,14736.63,Trust receipt - client funds,False,Democratic Republic of Congo
TXN-101287,CUST-10212,MTR-10212-7,Estate Administration,2025-12-26,Withdrawal,723389.98,Trust disbursement - settlement,False,United States
TXN-101136,CUST-10186,MTR-10186-1,Nominee Director Arrangement,2025-12-27,Deposit,4134.2,Trust receipt - client funds,False,United Kingdom
TXN-102329,CUST-10392,MTR-10392-2,Commercial Conveyancing,2025-12-28,Deposit,833520.15,Trust receipt - client funds,False,Australia
TXN-102055,CUST-10347,MTR-10347-3,Commercial Conveyancing,2025-12-28,Deposit,115019.49,Trust receipt - client funds,False,Australia
TXN-101206,CUST-10197,MTR-10197-2,Nominee Shareholder Arrangement,2025-12-29,Withdrawal,4891.03,Trust disbursement - settlement,False,Germany
TXN-100783,CUST-10128,MTR-10128-8,Trust Establishment,2025-12-29,Deposit,18436.4,Trust receipt - client funds,False,Australia
